;tweetid;target;seen;stance;comet_intent;llm_intent;rational;text
10;15163;syrian refugees;1;0;to be a good citizen person have more people safe;the intention of the tweet towards target'syrian refugees' is to express concern about the potential for muslim terrorists among them.;no intelligent person believes that there will be no Muslim terrorist amongst 10,000 Syrian refugees;No intelligent person thinks that all Muslims are terrorists or terrorist sympathizers, but no intelligent person believes that there will be no Muslim terrorist amongst 10,000 Syrian refugees. That most of the Muslim terrorists in the US were children of immigrants is hardly reassuring. We have more than enough homegrown religious fundamentalists. It is hard to see any benefit to the American people of importing even more.
11;2104;prostituion;1;1;to get rid of slavery something be a good person safe free;the intention of the tweet is to argue that legalizing prostitution and cracking down on trafficking can coexist, and that legalization offers protections for women in the sex trade.;Legalizing prostitution and cracking down on trafficking are not mutually exclusive;Legalizing prostitution and cracking down on trafficking are not mutually exclusive. The increased traffic in Amsterdam comes from the fact that it is just one such city and attracts men from all over. If prostitution was legal in every country in Europe this would not happen. Does prostitution dehumanize women? Absolutely. But until we get rid of it, legalization does, in theory, offer protections that doesn't currently exist.
12;6436;in-state students;1;0;to get a better deal have good life;the intention of the tweet towards in-state students is to express frustration and disappointment about the impact of proposition 13 on their education opportunities.;that's what you get with republicans: Lack of willingness to fund infrastructure of the state;Prop 13. That proposition that has me paying 10x more taxes for my house than my neighbor in an identical house next door, and my neighbor across the street, in a mirror image house paying 4x more than me. It is an immoral law, that also buried California's once envious education system ... but that's what you get with republicans: Lack of willingness to fund infrastructure of the state or nation makes the nation grate not great.
13;7805;early college;1;1;to get a good job out of school education degree;the intention of the tweet is to advocate for early college options for high school students.;Usually they take as many AP classes as possible, or take the GED and go;I know of too many kids put through too many years of high school, utterly frustrated at the system. Usually they take as many AP classes as possible, or take the GED and go to college early, or if the system allows, spend half days in high school and half days in college. Another one I know completed college at night and summers while attending days in high school.Nearly all had to 'fight the system' to do this. Why should all of this be made so difficult ? Why can't these choices be an available option to all, instead of foot-dragging, paperwork-filled, unending office meetings, interminable official resistance , with insane remarks like 'but they will miss the senior prom', 'readiness', 'socialization' etc. They want out. Let them go.
14;3330;learn;1;1;to learn something new a language things be educated;the intention of the tweet towards target 'learn' is to suggest that the best time to learn a language is during elementary school when exposure to other cultures and ways of speaking can have a significant impact.;I think the time to learn a language is early, in elementary school;I think the time to learn a language is early, in elementary school. That's when being exposed to other ways of speaking, doing things, other cultures, can make such an impact. In college it's just a burden, and a very expensive burden with the cost of tuition.
15;4961;kids exposed to normal people;1;1;to be a good parent person citizen help the children kids;the intention of the tweet is to advocate for exposing children of those who reject society to normal people, as it can lead to a more balanced worldview.;Seems it would be good for the children of folks who have rejected being a part;Seems it would be good for the children of folks who have rejected being a part of society to be exposed to the children of normal people no matter how it happens. Being brought up in the paranoid bunker without exposure to the outside world can lead to a warped world view. There were things I did not like about our public schools but the kids will have to swim in the big pond sooner or later. Better they learn to do it sooner.
16;7143;libaries;1;1;to learn something new about more;the intention of the tweet towards libraries is to express gratitude for the internet as a research tool and to criticize the use of encyclopedias for research purposes.;The internet is just a fabulous research tool. There is a lot more to it than;I majored in European History in the mid 1970s. I remember having to request books which were not available at my college library from an inter-college library group of which my school was a part and then waiting for ever for the books to arrive. The internet is just a fabulous research tool. There is a lot more to it than just Wikipedia. You can find tons of original scanned documents, places to buy/borrow out-of-print books. How you use the resource is really the question. Students wrote plenty of garbage-y papers back in the day using encylopedias (even at a respectable college) and some of them managed to fool the professors as well.
17;1906;grade colleges;1;0;to be the best a teacher successful respected;criticizes the plan for a ratings system in grade colleges, arguing that it will harm low-income and poorly prepared students.;the university system as it exists already hurts these people;The critics of this plan are arguing that a ratings system will hurt the people college is supposed to help most: low income, poorly prepared students. I would argue that the university system as it exists already hurts these people. My husband teaches at the University of New Orleans, where much of the student population comes from the underserved and woefully inadequate Louisiana state public education system. Although he works in a production department, he teaches history and theory, requiring his students to research and write thousands of words a semester. Even though they are juniors and seniors, most of his students don't know how to do this, so he conducts writing and research seminars for every class, every semester. Students fear his class before they take it, yet he has the highest approval rating in his department, which is one of the highest rated at the university. Despite his exemplary record teaching poorly prepared students, he was denied tenure because his publication record wasn't strong. They told him that for his position, publication was THE top priority. A university that claims to value its students actually had the gall to put this in writing.
18;5835;same-sex colleges;1;1;to get a good job education better grade;the intention of the tweet towards target'same-sex colleges' is to criticize the trend of accepting women in all-men's colleges and to suggest the reverse.;There are many all-women colleges, almost no all-men's colleges are;Boys drop out of school at a much higher rate than girls. Boys and young men are 7 times more likely than girls and young women to commit suicide. Young men receive only 42% of college degrees, and the gap is increasing. Boys in school are much more likely to be forced to take Ritalin than girls, simply for acting like normally active boys. As we drop Phys Ed and recess, these numbers will increase. There are many all-women colleges, almost no all-men's colleges are left, because they've been forced to accept women. Why not the reverse?
19;21845;farm subsidy;1;2;to be in power a leader control help the poor;the intention of this tweet is to criticize israel's treatment of palestinians, question israel's use of us foreign aid, and suggest that the international community's increasing awareness of the situation may interfere with israel's plans for annexation.;Isn't the real problem here that Israel is having a meltdown because the;"""The international community will not invest power, prestige and funds to chaperone an artificial ""state"" Oh yes they will, just as they approved another $5.8 billion to rebuild Gaza. Let's not pretend the millions of Westerners who sympathize with the Palestinians hold no sway with their governments, and that the Arab world doesn't care about Palestinians because that is patently false, or perhaps wishful thinking. But, if that is really your 'concern' for Palestine, then why doesn't Israel help out by donating the $3  billion per year it receives in US foreign aid? Why wait for others when Israel is a ""modern marvel"" of riches in the desert? Write the first check, I say! Isn't the real problem here that Israel is having a meltdown because the world is becoming increasingly aware of their appalling treatment of Palestinians and thus may interfere with Israel's ultimate plan to annex all of the West Bank and sever Gaza?"
20;13854;against declawing your cat if your kid has autism;1;1;to help the cats cat be nice kind;the intention of the tweet is to argue against declawing cats if the author's child has autism.;Autism is not an excuse to declaw;Autism mom here. All of my cats are clawed and, although there may have been a scratch at the very beginning, my two (severely) autistic girls haven't been scratched in years. The idea that an autistic individual can't learn to respect another life is absolutely ridiculous. The girls pet the cats when the cats approach for affection, ask for help if the cats need to be managed (like if the cats are trying to take their food or are sleeping on their beds), and get out of the way if the cats are playing/fighting. Autism is not an excuse to declaw.
21;16014;public beach access;1;1;to be a good citizen neighbor person friend fair;the intention of the tweet is to argue against the idea that maximum access to public beaches leads to overuse and to suggest that the shore is a commons that requires collective responsibility for protection.;The shore is a commons and the public has both the right to enjoy it and;Allowing maximum access does not cause maximum use. It distributes use over a broader set of beaches, actually reducing crowding. Further, people don't change rental-car oil because that is the contractual responsibility of the rental company. It is not akin to a commons. The shore is a commons and the public has both the right to enjoy it and he responsibility to protect it.
22;6640;capital gains;1;0;to make money save get rich;the intention of the tweet towards 'capital gains' is to argue against reducing or eliminating the tax on capital gains, stating that it should be raised to the same rate as gambling monies since the activity is now the same.;capital gains in the 21st century arises much more from gambling;When capital gains resulted in true investment, the argument that lowering it spurred economic grow for our nation made some sense. But capital gains in the 21st century arises much more from gambling. Trading equities in micro seconds, electronic trading that churns thousands of shares a second, looking only at todays, or even only at this minutes gain in the is not investment. Such activity isn't based on searching for companies that will do well in the long haul. Even management of pension funds and IRAs is done primarily for the fees charged by the investment managers who don't care it the funds go up or down, only if they get their piece. So actually capital gains tax rate should not be reduced or eliminated. It should be raised to the same rate charde on gasmbling monies sine it is now exactly the same.
23;15180;hsbc;1;0;to make money more money. get rich. rich;the intention of the tweet towards target 'hsbc' is to criticize and condemn their involvement in money laundering for mexican drug cartels.;HSBC gets into the business of laundering money for Mexican drug cartels;Right. HSBC gets into the business of laundering money for Mexican drug cartels. They know they are in that business from the start. Over the course of a few years they make 8 billion dollars *profit* laundering money for Mexican drug cartels. They admit guilt. They are fined 4 billion dollars. Exactly what incentive do they have to stop? They *made* 4 billion in profits doing the crime and paying the fine. I'm sure they'd be more than happy to sell-regulate. They'd make twice as much money!
24;21051;no tipping restaurant;1;2;to be a leader in control fair independent;the intention of this tweet is to express the benefits of social democracies and worker representation, drawing from the author's positive experience with a german company.;I spent five years with a German high tech start-up (now one of the largest;It can be different elsewhere. The social democracies of Northern Europe do a much better job of reining in the worst aspects of market capitalism. In Germany, companies with over 100 permanent employees are required to have a works council where employees are represented, often by colleagues who themselves are union members. Employers are also restrained, via carrots and sticks, from mass lay-offs and firings. I spent five years with a German high tech start-up (now one of the largest software companies in the world). Their flat organization, light-handed management style, and care for their employees gave me the happiest five work years of my life. Hands down.
25;1603;traditional teachers;1;1;to be a leader make difference help the poor respected;criticize traditional teachers for being unqualified and complacent.;I feel that traditionally trained teachers are chosen from the least talented pool of students;Wait a minute: Don't very wealthy, un-elected people have huge power in every political area of influence in our culture. They have the success to show the way. We look up to them. Why shouldn't they have something constructive to say about education. I feel that traditionally trained teachers are chosen from the least talented pool of students. Their SAT and GRE scores are consistently in the bottom third. We need a bunch from the top third and the middle third, and we need huge improvement in MATH & SCIENCE. We do not need a bunch of obstructive, complacent union drones clogging up the arteries of education. We need more flexible educational leadership, and more rewards for excellent teachers.
26;19690;immigration;1;2;to get a refund pay for something buy money;the author's intention is to express frustration and disagreement about paying a fee to cash a check from their sister at her bank.;My sister sent me a check for my birthday. I took it to her bank, and;How about this? My sister sent me a check for my birthday. I took it to her bank, and with my own i.d. tried to cash it. The teller said no problem ( I didn't have an account at her bank) but that there would be a $6 fee . So the $100 check cost me $6. Is this being ripped off? You bet it is.
27;6161;ca vegan dinners;1;0;to be a vegan vegetarian healthy in control;the intention of the tweet towards 'ca vegan dinners' is to express a negative experience and critique of the vegan lifestyle and community in california.;The food was interesting and very chewy, to the point where my jaw hurt. The regular;Just wanted to add that I went to a vegan dinner once in CA for people interested in joining the vegan lifestyle. The food was interesting and very chewy, to the point where my jaw hurt. The regular members were all very thin and did not look particularly healthy. I was mildly chastised by several members for wearing leather sandals and for having a leather bag. Leather is a no-no. My overall impression of the event and the people there was that it was like a zealous religious cult with very strict rules.
28;3113;immigration;1;0;to protect their own his country people be safe;the intention of the tweet towards target 'immigration' is to restrict it.;Allowing tens of thousands of random refugees asylum makes a nation less secure;The world is a mean, cold, hard, ugly place. A soveriegn nation's highest call is to protect its citizens. Allowing tens of thousands of random refugees asylum makes a nation less secure. A nation must take care of its own first. Only then can it help outsiders. Ideally, those two objectives will not clash. In a time of war, however, they are in direct conflict. Europe needs to not only allow zero new refugees in, but it needs to cancel all current visas and issue no new visas to citizens from the Middle East. When this war is over, when Islam in the Middle East finally undoes its extremist rigging, then immigration and visas may begin again. After all, in 1943, we weren't taking in any German or Japanese refugees, or allowing them to come in on student or work visas. Every nation in the Middle East, with the possible exception of Jordan, is a a grave enemy to values and security of the West. This is a war now. We must act on a war footing.
29;15333;iranian threat;1;0;to be in control a leader win the war game;the intention of the tweet is to provide a critical analysis of the iranian threat and its long-term goals, highlighting the weaknesses of the nuclear agreement recently signed with iran.;This is an accurate analysis of the Iranian threat;This is an accurate analysis of the Iranian threat. I would only add that Iran is not in the game just for today or for tomorrow but has long- term goals and plans. This is of course the major weakness of the nuclear agreement recently signed with Iran, which guarantees Iran a free nuclear hand in a decade or so.
30;18825;new employees;1;1;to be fair fair. compensated paid;the intention of the tweet towards new employees is to challenge the legal assumption that employers deserve all credit for intellectual property created by their employees.;noncompetes assume that, whatever the intellectual property is, the employer created all the value and;If an employee knows enough to truly hurt you, perhaps he should be paid accordingly. And noncompetes assume that, whatever the intellectual property is, the employer created all the value and deserves all the credit and the employee none. While that may be the current legal situation, there is very little that's realistic about that assumption.
31;5881;syria;1;0;to be a good friend not get in trouble into ally avoid conflict;the intention of the tweet towards syria is to suggest that the united states should ignore assad's use of chemical weapons against his own people and declare him an ally.;Ignoring atrocities committed by allies is an established and accepted foreign policy practice so;The United States resolutely looked the other way when Saddam Hussein, an ally, used chemical weapons against Iranians and Kurds in the 80's. Ignoring atrocities committed by allies is an established and accepted foreign policy practice so perhaps we just declare Assad an ally and call it a day.
32;21086;natanyahu;1;2;to have a family be parent child father children;the author expresses nostalgia and regret about waiting too long to have children, particularly wishing they had a daughter and more time with grandchildren.;My wife and I married at 24. We waited and had our first son at 31.;My wife and I married at 24. We waited and had our first son at 31. It took 5 years to have a second although we wanted our kids 2 years apart. We wanted a third, a daughter, but it did not happen and after 38 we were taking no chances. We watched at the play ground how mothers in their late teens and early 20's acted. The energy of the young mothers put us to shame. We waited for the usual economic reasons although my wife was looking at nursery furniture and prams at 26. My son was born 2 weeks after I was admitted to the NY Bar. Now I have two fine sons., 48 and 43. They are good, smart, funny and loving sons and arrow straight. Total product: one intelligent and beautiful grand daughter now entering college. I have lived a very long time and I don't have many regrets but the biggest regret is waiting too long to have children and maybe to have had 3 instead of 2. My wife so much wanted a daughter. A grand daughter helps. Yet we will not dance at her wedding and see her children.
33;2843;read;1;1;to help the poor be a leader educate people helpful educated;the intention of the tweet is to emphasize the importance of public schools in providing education to all citizens, which benefits everyone.;Everyone benefits when every citizen is able to read;Public schools are the entire country's investment in an educated populace. They are our investment in a responsible, civil society. Everyone benefits when every citizen is able to read, write, understand history, geography, and government, and certainly to understand and be able to do practical, everyday mathematics. Therefore it is every citizen's duty to provide (pay for) schools open to everyone.
34;19790;monarch;1;2;to be a good citizen get education better person help the poor;the intention of the tweet towards target'monarch' is to criticize the current system of education and suggest a shift towards public education.;Unless and until we decide to acknowledge the symbiotic false pretenses;Unless and until we decide to acknowledge the symbiotic false pretenses underlying our effective subsidy of for-profit institutions of higher learning and redirect those resources back to public education in all its forms (under funded primary and secondary schools, public land-grant universities), we will only expand the gap between educational and economic have and have nots.
35;4998;news reading;1;0;to be entertained lazy bored have fun;the intention of the tweet towards target 'news reading' is to criticize the lack of motivation and intellectual laziness of people in the country who prefer entertainment over reading news.;Too much access to entertainment, which is easier to watch than picking up a newspaper or reading;We are certainly less informed and are less motivated to be informed. Too much access to entertainment, which is easier to watch than picking up a newspaper or reading a book. Basically, people in this country are increasingly more intellectually lazy than they are stupid.
36;19180;israel;1;0;to make money. help the poor save money;the intention of the tweet towards israel is to suggest that a more balanced foreign policy in the middle east is required, as israel does not have any oil to sell to the us.;Does Israel have any oil to sell to the US;Does Israel have any oil to sell to the US. If not, a more balenced foreign policy in the Middle East is required. The world' oil supply, the is conventional oil is on a slippery plateau. High oil prices do not help the economy. Lowering Middle East tensions would ease oil prices. Sorry to be so Machiavellian, but that is the reality today.
37;6530;housework;1;0;to be in charge control helpful not overwhelmed;the intention of the tweet towards target 'housework' is to suggest that the royal family will delegate their housework to servants, freeing them from the daily pressures of parenting.;their housework will be given over to servants;Just as their housework will be given over to servants, much of their childcare will be given over to nannies. I am sure they won't be ignoring the kids, but I am equally sure they won't be overwhelmed by the day-to-day, sometimes hour-by-hour, pressures of parenting either. Royal or not, there are too many billions between the Windors and the average family.
38;3680;endorsing a candidate;1;0;to influence the outcome be a leader make point election;the intention of the tweet is to criticize the act of endorsing a candidate.;Just because she has the right to endorse a candidate, that does not make it the right;Just because she has the right to endorse a candidate, that does not make it the right thing to do. There is an intrinsic difference between commenting on judicial opinions already delivered, and attempting to use the power and glory of the Supreme Court to influence an upcoming election. I think that the dignity of the Court is lessened when its members descend into the political arena in such a manner.
39;1300;doctor issues;1;1;to understand the results know be informed learn more;the author's intention towards 'doctor issues' is to express dissatisfaction with the lack of time and communication from their doctor, leading them to rely on dr. google for information.;I feel like they do not have time to discuss my medical results fully with me to my liking;I would love to be able to use my doctor as a reference, but unfortunately, I feel like they do not have time to discuss my medical results fully with me to my liking. For example, I recently had a number of blood tests run and the results emailed to me. I have no idea what the results mean and emailed my doctor to ask what behavioural changes I would need to make to be healthier. I was told that my results indicate that I am health and to eat a low GI diet. I would have appreciated more time to make sure I understand what the results mean versus feeling like I got brushed off. This is the reason that I use Dr. Google... not enough time from my doctor.
40;6408;public school system;1;0;get rid of the government to be a good parent leader independent;the intention of the tweet is to advocate for the abolition of the public school system.;Let's stop funding the public schools, which have been doing the same thing (creating;"""More of the Same is Not a Solution"" Absolutely right - so let's stop doing the same thing: Let's stop funding the public schools, which have been doing the same thing (creating curricula based on political motivations) and have been consistently failing. Phase out the public school system. Allow anyone and everyone who wants to create a school - to teach arithmetic, English, physics, creationism, evolution, global warming, diversity, Ebonics, computer programming, metal shop, cooking, basketball, or basket-weaving - do so, and let them charge what they wish. Let them accept any students they want, and let them hire whoever they want to teach. Let parents have the freedom to choose the school, the teachers, and the lessons they want their children to learn. Lay off the school boards, and the school committees, and board up the entire Department of Education. Let the government bureaucrats run a bake sale to keep up their standard of living. Anything else is just a perpetuation of the same problem: Government-run public schools. Get the Government Out of Our Children's Education."
41;6501;ev charger;1;0;to be a leader make profit money. money helpful;the intention of the tweet is to express surprise that nissan does not offer portable ev chargers as an option, and to suggest that third parties will likely spring up to meet this demand.;As soon as there is a critical level of EV adoption third parties will spring up to;As soon as there is a critical level of EV adoption third parties will spring up to supply a (new!) market for portable EV chargers. I am surprised that Nissan doesn't offer this as an option -- but what the heck, the market will provide. Look at what happened with iPod/iPhone accessories.
42;2351;making all beaches public;1;0;to be a good citizen neighbor person protect the environment free;the author's intention is to advocate for making all beaches public and preventing land ownership near undeveloped areas.;I would go even further. Making all beaches public, and requiring public access to all beaches;I would go even further. Making all beaches public, and requiring public access to all beaches WITHOUT the beach-goer having to pay a fee to get to the beach. FOr instance, the NOrthern California coast is spectacular, north of San Francisco. I find it offensive to come to a place like Sea Ranch, and find that all the pullouts along highway 1 in this area, from where one can walk to the beach, require you to pay a fee to park. So, unless you are traveling the highway without a car, there is no way to access the beach at Sea Ranch without paying a fee. THis should be forbidden. In my view, we should also prevent people from being able to buy land within a certain distance of the water in areas that remain undeveloped, in order to better preserve these undeveloped areas.
43;21302;immigrant;1;2;The only winners are the students. teachers. students they get fired;the intention of this tweet is to criticize charter schools for employing inexperienced teachers, providing them with minimal raises, and then replacing them with new inexperienced teachers, arguing that this cycle negatively impacts students' education quality.;resign for better paying teaching positions;Charter schools employ inexperienced teachers because they accept low salaries. To keep charter school cost low salaries receive only token raises. Charter school teachers, after gaining 3 - 5 years of experience, resign for better paying teaching positions. This turnover provides cheap, but inexperienced, teachers, keeps their pay low, trains them, then replaces them with new inexperienced teachers and starts the cycle allover again. The only losers in revolving door teachers is the students sub-par education in these schools and beyond.
44;4029;tax revenue;1;1;to make more money money. get save;the intention of the tweet is to suggest reducing taxes on alcohol sales to increase revenue for bar owners and the state.;the bar owner is not selling at a loss happy hour or not;Well the bar owner is not selling at a loss happy hour or not. The state is getting exactly the same revenue at all hours. So let the states reduce the taxes. Bar owners will make it happy hours throughout the day. Nobody will pile on to imaginary low cost booze.
45;5434;home schoolers;1;0;to get a better job be good person citizen education;the intention of the tweet is to criticize home schoolers, implying that they lack social skills and are not qualified for jobs.;Of all the people I have met that were home schooled I feel they fall into one;Of all the people I have met that were home schooled I feel they fall into one of two categories: the bible college bound, and those lacking all social skills whatsoever. Thank you republicans for creating another group of Americans that will in no way be able to take my job when I'm 50 and they are 30.
46;10608;education;1;1;to get a degree an education job be educated learn;the intention of the tweet is to inform about the cegep system in quebec and its benefits for students who may not want to go to university.;It might be worth taking a look at the CEGEP system in the province of Quebec;It might be worth taking a look at the CEGEP system in the province of Quebec. In Quebec, High school ends at grade 11. From there, students enter CEGEP which is either two years for students planning on going to university or three years for those in the technical/vocational side. Those who chose the three year program are ready for work right after graduating from CEGEP. The students who are heading to university have had the chance to take courses more focused on their chosen field. Not everyone can or should go to university and the system CEGEP offers an alternative.
47;15979;marijuana;1;1;to get high. high avoid the consequences be safe;the intention of the tweet towards target'marijuana' is to challenge the perception of marijuana as a harmful drug and to advocate for a more balanced approach to drug education.;we treat marijuana as far more harmful than it actually is;I wonder if it ever occurs to the gateway camp that to the extent marijuana is a gateway drug it is because we treat marijuana as far more harmful than it actually is. I remember growing up with warnings of the terrible things that would happen if I used drugs. Heroin, cocaine, marijuana all lumped together. I've never tried cocaine or heroin, but if school counselors had convinced me they were like marijuana then I might. And while addiction is a scourge, even pot addiction, it's nowhere near as harmful as the scourge of mass incarceration.
48;5410;office layout;1;1;to work in a quiet place environment be private room;the intention of the tweet towards target 'office layout' is to suggest that private spaces are better for jobs that require thought and concentration, and that uncontrolled collaboration isn't always beneficial.;any job that requires thought/or concentration is better done in a private space;Having worked and managed people in both environments, its clear to me that any job that requires thought and/or concentration is better done in a private space. It can even be hard to focus in cubicles, but they are certainly better than an open floor. Uncontrolled collaboration isn't always beneficial. That's what team meeting (formal or informal) are for.
49;17560;a tax break;1;0;to be a good citizen person help the poor parent poor.;the intention of the tweet is to advocate for a universal tax break for all individuals who do not have school-aged children.;every retiree and every person who is not married and does not have school-aged children should;If home-schoolers get a tax break then every childless couple, every empty-nester, every retiree and every person who is not married and does not have school-aged children should get an equal tax break. Make education like toll roads--only paid for by the users.
50;6073;drunk driving;1;1;to be a good citizen get rid of alcohol person in control leader;the intention of the tweet is to criticize the effectiveness of banning establishments that serve alcohol from having a parking lot as a solution to drunk driving.;we should ban any establishment that serves alcohol from having a parking lot;If we really thought that these kinds of bans can work, then we should ban any establishment that serves alcohol from having a parking lot, and in fact why not go farther and just not issue a liquor license to any establishment that you can only realistically get to and from by car. These things aren't going to happen of course, which is the point.
51;11110;workers;1;1;to be a leader in control fair independent;the intention of the tweet towards target 'workers' is to highlight the benefits of social democracies in northern europe, specifically germany, in providing better working conditions and employee representation through works councils and union membership.;care for their employees gave me the happiest five work years of my life. Hand;It can be different elsewhere. The social democracies of Northern Europe do a much better job of reining in the worst aspects of market capitalism. In Germany, companies with over 100 permanent employees are required to have a works council where employees are represented, often by colleagues who themselves are union members. Employers are also restrained, via carrots and sticks, from mass lay-offs and firings. I spent five years with a German high tech start-up (now one of the largest software companies in the world). Their flat organization, light-handed management style, and care for their employees gave me the happiest five work years of my life. Hands down.
